g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
8,10,1,1,,1|2|600|4|1|1,,14,0,40,8,49,15519,5760,42571,14,14,14
8,10,1,2,,1|2|600|4|1|1,,13,0,52,11,64,26102,8064,72154,13,13,13
8,10,1,3,,1|2|600|4|1|1,,17,0,152,128,281,72517,20736,206389,13,17,17
8,10,1,4,,1|2|600|4|1|1,,36,0,340,209220,209562,155418,43200,446328,11,36,36
8,10,1,5,,1|2|600|4|1|1,,37,0,485,99287,99774,224575,61056,642611,13,37,37
8,10,1,6,,1|2|600|4|1|1,,40,0,756,15130,15888,350377,92736,1005595,17,40,40
8,10,1,7,,1|2|600|4|1|1,Timeout,,0,875,604232,0,399747,105984,1142387,17,35,68
8,10,1,8,,1|2|600|4|1|1,Timeout,,0,1182,605258,0,537845,139968,1539427,20,41,80
8,10,1,9,,1|2|600|4|1|1,Timeout,,0,1145,611293,0,520290,132480,1497886,17,35,-1
8,10,1,10,,1|2|600|4|1|1,Timeout,,0,1401,608353,0,638023,162624,1829849,19,39,-1
8,10,2,1,,1|2|600|4|1|1,,1,0,5,7,13,3041,1152,7773,1,1,1
8,10,2,2,,1|2|600|4|1|1,,8,0,57,8,66,25317,6912,75613,8,8,8
8,10,2,3,,1|2|600|4|1|1,,15,0,135,46,182,60353,15360,186117,15,15,15
8,10,2,4,,1|2|600|4|1|1,,16,0,235,2087,2323,100809,24192,316845,10,16,16
8,10,2,5,,1|2|600|4|1|1,,25,0,383,304271,304656,164870,38976,518576,14,25,25
8,10,2,6,,1|2|600|4|1|1,,24,0,394,199320,199717,168526,38400,531614,12,24,24
8,10,2,7,,1|2|600|4|1|1,,25,0,535,180577,181114,226601,50112,721407,14,25,25
8,10,2,8,,1|2|600|4|1|1,Timeout,,0,779,619004,0,321326,71040,1027034,9,19,27
8,10,2,9,,1|2|600|4|1|1,Timeout,,0,734,620325,0,306875,65472,986121,15,23,30
8,10,2,10,,1|2|600|4|1|1,Timeout,,0,1291,628642,0,524926,112896,1691142,12,25,-1
8,10,3,1,,1|2|600|4|1|1,,0,0,2,0,3,1504,768,2776,0,0,0
8,10,3,2,,1|2|600|4|1|1,,16,0,159,23,183,68030,16320,219028,16,16,16
8,10,3,3,,1|2|600|4|1|1,,10,0,131,19,151,55308,12672,178744,10,10,10
8,10,3,4,,1|2|600|4|1|1,,13,0,362,263,625,146193,30912,489919,11,13,13
8,10,3,5,,1|2|600|4|1|1,,15,0,294,115,409,120004,24576,401264,15,15,15
8,10,3,6,,1|2|600|4|1|1,,15,0,453,23112,23566,181523,36288,613145,10,15,15
8,10,3,7,,1|2|600|4|1|1,,22,0,868,499953,500824,342867,67200,1170047,17,22,22
8,10,3,8,,1|2|600|4|1|1,Timeout,,0,583,617553,0,230297,44352,783563,10,16,20
8,10,3,9,,1|2|600|4|1|1,Timeout,,0,856,627428,0,334838,62208,1153382,13,14,-1
8,10,3,10,,1|2|600|4|1|1,Timeout,,0,842,622489,0,330806,62400,1132460,12,13,-1
