g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
4,10,1,1,,1|2|600|4|1|1,,4,0,4,2,6,2899,160,6379,4,4,4
4,10,1,2,,1|2|600|4|1|1,,5,0,20,4,26,8590,432,19902,5,5,5
4,10,1,3,,1|2|600|4|1|1,,15,0,49,46,96,22669,1088,52589,9,15,15
4,10,1,4,,1|2|600|4|1|1,,18,0,99,399,500,59006,2640,139502,6,18,18
4,10,1,5,,1|2|600|4|1|1,,36,0,216,22569,22787,142682,6240,330682,8,36,36
4,10,1,6,,1|2|600|4|1|1,,20,0,148,1490,1638,90596,3696,212820,6,20,20
4,10,1,7,,1|2|600|4|1|1,Timeout,,0,328,602021,0,207618,8320,477858,7,33,64
4,10,1,8,,1|2|600|4|1|1,Timeout,,0,374,603250,0,243395,9360,557875,10,33,-1
4,10,1,9,,1|2|600|4|1|1,Timeout,,0,443,604722,0,287791,10400,669711,10,33,-1
4,10,1,10,,1|2|600|4|1|1,Timeout,,0,497,604015,0,323253,11440,740261,10,33,-1
4,10,2,1,,1|2|600|4|1|1,,0,0,1,0,1,794,48,1546,0,0,0
4,10,2,2,,1|2|600|4|1|1,,6,0,24,7,33,11933,576,28861,6,6,6
4,10,2,3,,1|2|600|4|1|1,,6,0,37,10,48,15698,720,38370,4,6,6
4,10,2,4,,1|2|600|4|1|1,,7,0,49,11,61,20169,864,50313,6,7,7
4,10,2,5,,1|2|600|4|1|1,,8,0,44,13,58,24164,1008,59188,7,8,8
4,10,2,6,,1|2|600|4|1|1,,21,0,183,155857,156042,105582,4224,260654,12,21,21
4,10,2,7,,1|2|600|4|1|1,Timeout,,0,209,604128,0,124940,4752,310460,11,17,32
4,10,2,8,,1|2|600|4|1|1,Timeout,,0,236,604239,0,144279,5280,357143,8,23,24
4,10,2,9,,1|2|600|4|1|1,Timeout,,0,282,603959,0,166429,5808,413773,7,17,24
4,10,2,10,,1|2|600|4|1|1,Timeout,,0,327,606019,0,188057,6336,465497,6,17,-1
4,10,3,1,,1|2|600|4|1|1,,5,0,20,5,26,12208,576,29712,5,5,5
4,10,3,2,,1|2|600|4|1|1,,3,0,28,5,34,8832,400,21872,3,3,3
4,10,3,3,,1|2|600|4|1|1,,3,0,29,6,35,10926,480,27246,3,3,3
4,10,3,4,,1|2|600|4|1|1,,8,0,50,16,67,24387,1008,62579,6,8,8
4,10,3,5,,1|2|600|4|1|1,,8,0,57,17,75,29737,1152,78025,8,8,8
4,10,3,6,,1|2|600|4|1|1,,12,0,114,19751,19867,64812,2448,168924,7,12,12
4,10,3,7,,1|2|600|4|1|1,,12,0,143,100292,100437,74747,2720,194523,6,12,12
4,10,3,8,,1|2|600|4|1|1,Timeout,,0,151,606050,0,86349,2992,226301,8,13,16
4,10,3,9,,1|2|600|4|1|1,,11,0,180,17568,17749,97510,3264,254662,6,11,11
4,10,3,10,,1|2|600|4|1|1,Timeout,,0,371,606997,0,210519,6864,545927,8,17,-1
4,10,4,1,,1|2|600|4|1|1,,2,0,8,1,10,5291,240,12507,2,2,2
4,10,4,2,,1|2|600|4|1|1,,2,0,21,2,24,6533,288,15893,2,2,2
4,10,4,3,,1|2|600|4|1|1,,4,0,33,7,41,13459,560,34083,4,4,4
4,10,4,4,,1|2|600|4|1|1,,8,0,59,12,73,29260,1152,76588,8,8,8
4,10,4,5,,1|2|600|4|1|1,,5,0,76,20,97,34511,1296,91967,3,5,5
4,10,4,6,,1|2|600|4|1|1,,9,0,144,394,539,74850,2720,200354,6,9,9
4,10,4,7,,1|2|600|4|1|1,,10,0,156,2765,2922,85234,2992,228130,6,10,10
4,10,4,8,,1|2|600|4|1|1,,10,0,187,1981,2169,100577,3264,277345,10,10,10
4,10,4,9,,1|2|600|4|1|1,Timeout,,0,195,606714,0,109206,3536,294406,6,13,14
4,10,4,10,,1|2|600|4|1|1,Timeout,,0,242,607631,0,124870,3808,342598,5,9,16
4,10,5,1,,1|2|600|4|1|1,,4,0,20,4,25,11717,480,29109,4,4,4
4,10,5,2,,1|2|600|4|1|1,,4,0,33,5,38,14044,560,36028,4,4,4
4,10,5,3,,1|2|600|4|1|1,,3,0,38,9,48,16533,640,43269,3,3,3
4,10,5,4,,1|2|600|4|1|1,,7,0,64,15,80,35925,1296,98517,6,7,7
4,10,5,5,,1|2|600|4|1|1,,6,0,70,17,88,39900,1440,107980,6,6,6
4,10,5,6,,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
4,10,5,7,,1|2|600|4|1|1,,5,0,110,39,150,51850,1728,142666,5,5,5
4,10,5,8,,1|2|600|4|1|1,,9,0,227,59719,59947,112885,3536,318213,6,9,9
4,10,5,9,,1|2|600|4|1|1,,11,0,223,605340,605565,121187,3808,333667,6,11,11
4,10,5,10,,1|2|600|4|1|1,Timeout,,0,254,609344,0,133674,4080,367354,5,9,16
4,10,6,1,,1|2|600|4|1|1,,3,0,31,5,38,14671,560,37007,3,3,3
4,10,6,2,,1|2|600|4|1|1,,2,0,20,5,26,9892,384,24860,2,2,2
4,10,6,3,,1|2|600|4|1|1,,6,0,70,14,86,35984,1296,96848,6,6,6
4,10,6,4,,1|2|600|4|1|1,,4,0,48,7,56,22464,800,60784,4,4,4
4,10,6,5,,1|2|600|4|1|1,,7,0,81,29,111,45675,1584,124379,6,7,7
4,10,6,6,,1|2|600|4|1|1,,6,0,111,28,140,53049,1728,148761,5,6,6
4,10,6,7,,1|2|600|4|1|1,,6,0,124,39,164,61090,1872,175762,6,6,6
4,10,6,8,,1|2|600|4|1|1,,8,0,128,277,406,65434,2016,184442,7,8,8
4,10,6,9,,1|2|600|4|1|1,,8,0,138,166,305,72150,2160,203238,5,8,8
4,10,6,10,,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
4,10,7,1,,1|2|600|4|1|1,,3,0,29,5,35,17950,640,45822,3,3,3
4,10,7,2,,1|2|600|4|1|1,,5,0,83,21,105,37329,1296,99617,3,5,5
4,10,7,3,,1|2|600|4|1|1,,4,0,41,7,50,23680,800,64480,4,4,4
4,10,7,4,,1|2|600|4|1|1,,5,0,110,31,141,49465,1584,140169,5,5,5
4,10,7,5,,1|2|600|4|1|1,,5,0,113,27,140,56299,1728,163083,5,5,5
4,10,7,6,,1|2|600|4|1|1,,5,0,123,42,165,60483,1872,172595,5,5,5
4,10,7,7,,1|2|600|4|1|1,,5,0,139,36,176,69306,2016,203034,5,5,5
4,10,7,8,,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
4,10,7,9,,1|2|600|4|1|1,,4,0,86,15,102,44788,1280,128532,4,4,4
4,10,7,10,,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
4,10,8,1,,1|2|600|4|1|1,,3,0,48,7,57,22076,720,58092,3,3,3
4,10,8,2,,1|2|600|4|1|1,,5,0,100,23,124,44899,1440,122211,5,5,5
4,10,8,3,,1|2|600|4|1|1,,3,0,49,8,58,27635,880,75987,3,3,3
4,10,8,4,,1|2|600|4|1|1,,5,0,103,26,130,56145,1728,159057,5,5,5
4,10,8,5,,1|2|600|4|1|1,,5,0,118,27,147,61073,1872,173025,5,5,5
4,10,8,6,,1|2|600|4|1|1,,4,0,76,12,89,38209,1120,110145,4,4,4
4,10,8,7,,1|2|600|4|1|1,,4,0,86,14,101,41921,1200,121521,4,4,4
4,10,8,8,,1|2|600|4|1|1,,5,0,168,52,221,83754,2304,247146,5,5,5
4,10,8,9,,1|2|600|4|1|1,,8,0,177,436,614,89412,2448,261364,6,8,8
4,10,8,10,,1|2|600|4|1|1,Timeout,,0,358,613130,0,182776,4896,535544,8,9,12
4,10,9,1,,1|2|600|4|1|1,,2,0,25,4,30,14426,480,35942,2,2,2
4,10,9,2,,1|2|600|4|1|1,,6,0,111,22,134,52390,1584,143798,6,6,6
4,10,9,3,,1|2|600|4|1|1,,6,0,109,27,138,57107,1728,158627,6,6,6
4,10,9,4,,1|2|600|4|1|1,,4,0,64,20,85,35174,1040,99214,4,4,4
4,10,9,5,,1|2|600|4|1|1,,5,0,150,29,180,70624,2016,204320,5,5,5
4,10,9,6,,1|2|600|4|1|1,,5,0,157,43,201,78766,2160,232654,5,5,5
4,10,9,7,,1|2|600|4|1|1,,8,0,157,39,196,82625,2304,239825,6,8,8
4,10,9,8,,1|2|600|4|1|1,,9,0,339,401,742,172376,4624,509928,6,9,9
4,10,9,9,,1|2|600|4|1|1,,7,0,188,57,247,96949,2592,283717,7,7,7
4,10,9,10,,1|2|600|4|1|1,,6,0,221,383,605,111025,2736,336865,6,6,6
4,10,10,1,,1|2|600|4|1|1,,4,0,49,8,58,29184,880,75720,4,4,4
4,10,10,2,,1|2|600|4|1|1,,5,0,127,26,154,61508,1728,171828,5,5,5
4,10,10,3,,1|2|600|4|1|1,,2,0,41,6,48,20706,624,55686,2,2,2
4,10,10,4,,1|2|600|4|1|1,,4,0,73,12,86,39887,1120,113319,4,4,4
4,10,10,5,,1|2|600|4|1|1,,5,0,169,36,207,82679,2160,246439,4,5,5
4,10,10,6,,1|2|600|4|1|1,,5,0,171,38,210,86494,2304,254718,5,5,5
4,10,10,7,,1|2|600|4|1|1,,7,0,180,45,226,91832,2448,269144,5,7,7
4,10,10,8,,1|2|600|4|1|1,,7,0,189,95,286,99106,2592,292146,5,7,7
4,10,10,9,,1|2|600|4|1|1,,5,0,220,53,274,109007,2736,326431,4,5,5
4,10,10,10,,1|2|600|4|1|1,,9,0,419,10032,10453,215936,5440,640896,5,9,9
4,20,1,1,,1|2|600|4|1|1,,6,0,9,2,12,5131,288,11275,6,6,6
4,20,1,2,,1|2|600|4|1|1,,12,0,33,19,54,15515,816,34891,8,12,12
4,20,1,3,,1|2|600|4|1|1,,18,0,73,71,145,42900,2112,98036,10,18,18
4,20,1,4,,1|2|600|4|1|1,,14,0,64,24,90,29160,1360,66104,8,14,14
