g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
9,10,1,1,19,1|2|600|4|1|1,,24,0,76,19,96,32840,12150,91132,24,24,24
9,10,1,2,19,1|2|600|4|1|1,,39,0,210,65305,65517,99318,31347,281424,21,39,39
9,10,1,3,19,1|2|600|4|1|1,,27,0,395,11569,11965,178599,51516,514051,13,27,27
9,10,1,4,19,1|2|600|4|1|1,,34,0,573,39256,39832,265562,74115,759718,15,34,34
9,10,1,5,19,1|2|600|4|1|1,Timeout,,0,1018,603958,0,462573,123930,1332033,21,43,63
9,10,1,6,19,1|2|600|4|1|1,Timeout,,0,633,612741,0,289536,76545,830060,11,23,-1
9,10,1,7,19,1|2|600|4|1|1,Timeout,,0,1462,614094,0,666870,173016,1925122,22,45,55
9,10,1,8,19,1|2|600|4|1|1,Timeout,,0,1922,614733,0,868136,220887,2514468,25,51,75
9,10,1,9,19,1|2|600|4|1|1,Timeout,,0,1527,610574,0,699207,177390,2013835,18,37,-1
9,10,1,10,19,1|2|600|4|1|1,Timeout,,0,1804,612443,0,821189,205821,2368001,19,39,-1
9,10,2,1,19,1|2|600|4|1|1,,14,0,77,18,96,35373,10935,105675,14,14,14
9,10,2,2,19,1|2|600|4|1|1,,5,0,45,7,52,20837,5832,61129,5,5,5
9,10,2,3,19,1|2|600|4|1|1,,18,0,327,543,871,140714,35235,442158,14,18,18
9,10,2,4,19,1|2|600|4|1|1,,22,0,497,19800,20298,213235,51030,675019,17,22,22
9,10,2,5,19,1|2|600|4|1|1,,20,0,646,9235,9882,273550,62937,870650,18,20,20
9,10,2,6,19,1|2|600|4|1|1,Timeout,,0,585,615729,0,248643,56376,788279,14,15,-1
9,10,2,7,19,1|2|600|4|1|1,,30,0,771,490139,490912,327242,72171,1045226,16,30,30
9,10,2,8,19,1|2|600|4|1|1,Timeout,,0,1244,619777,0,523663,114210,1680295,23,24,-1
9,10,2,9,19,1|2|600|4|1|1,Timeout,,0,913,619660,0,384223,82863,1227153,15,16,-1
9,10,2,10,19,1|2|600|4|1|1,Timeout,,0,1350,636989,0,564017,119556,1810541,20,21,-1
9,10,3,1,19,1|2|600|4|1|1,,2,0,19,3,23,9613,2916,27473,2,2,2
9,10,3,2,19,1|2|600|4|1|1,,12,0,152,21,174,65865,15795,211253,12,12,12
9,10,3,3,19,1|2|600|4|1|1,,15,0,250,32,282,105585,23328,345315,15,15,15
9,10,3,4,19,1|2|600|4|1|1,,17,0,648,1362,2011,265118,56133,889206,16,17,17
9,10,3,5,19,1|2|600|4|1|1,,14,0,441,23144,23586,180298,36936,604758,9,14,14
9,10,3,6,19,1|2|600|4|1|1,,23,0,1087,407293,408383,433568,85293,1479446,19,23,23
9,10,3,7,19,1|2|600|4|1|1,Timeout,,0,1082,639517,0,434864,85050,1480664,17,18,34
9,10,3,8,19,1|2|600|4|1|1,Timeout,,0,1111,626147,0,442236,82863,1524206,15,16,30
9,10,3,9,19,1|2|600|4|1|1,Timeout,,0,882,617660,0,352124,67068,1197920,11,12,22
9,10,3,10,19,1|2|600|4|1|1,Timeout,,0,1526,629582,0,598451,110565,2062781,17,18,-1
9,10,4,1,19,1|2|600|4|1|1,,4,0,53,14,67,24033,6075,73893,4,4,4
9,10,4,2,19,1|2|600|4|1|1,,14,0,239,32,272,99591,21870,330231,14,14,14
9,10,4,3,19,1|2|600|4|1|1,,14,0,309,37,347,126511,25515,429385,14,14,14
9,10,4,4,19,1|2|600|4|1|1,,15,0,398,47,445,160726,31104,551514,15,15,15
9,10,4,5,19,1|2|600|4|1|1,,15,0,471,104,576,188491,34992,653698,15,15,15
9,10,4,6,19,1|2|600|4|1|1,,12,0,445,61,506,176185,31590,615893,12,12,12
9,10,4,7,19,1|2|600|4|1|1,,17,0,1001,503433,504437,385146,66825,1369802,12,17,17
9,10,4,8,19,1|2|600|4|1|1,Timeout,,0,1454,633331,0,558220,96228,1992056,16,17,24
9,10,4,9,19,1|2|600|4|1|1,,23,0,1166,85131,86299,448361,75816,1597636,23,23,23
9,10,4,10,19,1|2|600|4|1|1,Timeout,,0,1557,649113,0,591135,98658,2122187,14,15,28
