g,b,a,c,seed,timeout,result,makespan,t_total,t_solver,h_expanded,l_expanded,n_assignments
3,10,1,1,2,600,,0,0.000,0.000,0,0,0
3,10,2,1,2,600,,0,0.000,0.000,0,0,0
3,10,2,2,2,600,,3,0.004,0.000,1,8,1
3,10,3,1,2,600,,1,0.006,0.000,1,7,1
3,10,3,2,2,600,,6,0.004,0.001,10,313,2
3,10,3,3,2,600,,3,0.003,0.000,1,12,1
3,10,4,1,2,600,,3,0.005,0.000,8,135,4
3,10,4,2,2,600,,2,0.017,0.001,6,102,4
3,10,4,3,2,600,,3,0.007,0.001,11,302,4
3,10,4,4,2,600,,4,0.004,0.001,16,287,4
3,10,5,1,2,600,,3,0.004,0.001,32,620,5
3,10,5,2,2,600,,3,0.013,0.000,1,13,1
3,10,5,3,2,600,,3,0.010,0.001,41,561,4
3,10,5,4,2,600,,3,0.012,0.001,32,414,5
3,10,5,5,2,600,,5,0.012,0.001,29,605,4
3,10,6,1,2,600,,4,0.009,0.006,198,3689,6
3,10,6,2,2,600,,3,0.004,0.001,14,389,6
3,10,6,3,2,600,,5,0.059,0.057,1998,31782,4
3,10,6,4,2,600,,4,0.005,0.001,8,242,5
3,10,6,5,2,600,,6,0.038,0.035,1000,20723,6
3,10,6,6,2,600,,4,0.020,0.015,588,8880,6
3,10,7,1,2,600,,0,0.000,0.000,0,0,0
3,10,7,2,2,600,,5,23.743,23.738,804669,13192813,7
3,10,7,3,2,600,,3,0.593,0.004,156,2147,7
