g,b,a,c,seed,timeout,result,makespan,runtime,h_expanded,l_expanded,n_assignments
6,10,1,1,5,600,,12,0.000099,1,14,1
6,10,2,1,5,600,,11,0.000111,1,15,1
6,10,2,2,5,600,,7,0.000133,1,17,1
6,10,3,1,5,600,,0,0.000030,1,6,1
6,10,3,2,5,600,,11,0.000738,2,230,2
6,10,3,3,5,600,,6,0.000159,1,18,1
6,10,4,1,5,600,,7,0.000311,2,127,2
6,10,4,2,5,600,,8,0.000211,2,66,2
6,10,4,3,5,600,,12,0.003378,19,1740,4
6,10,4,4,5,600,,10,0.000851,8,351,4
6,10,5,1,5,600,,3,0.000829,10,290,5
6,10,5,2,5,600,,6,0.007204,55,4789,2
6,10,5,3,5,600,,8,0.006520,42,3967,9
6,10,5,4,5,600,,10,0.002231,15,1254,4
6,10,5,5,5,600,,6,0.000945,2,97,2
6,10,6,1,5,600,,4,0.000198,2,60,2
6,10,6,2,5,600,,7,0.001910,25,1220,2
6,10,6,3,5,600,,8,0.006499,43,4547,7
6,10,6,4,5,600,,9,0.002022,15,1134,4
6,10,6,5,5,600,,7,0.002560,13,1255,6
6,10,6,6,5,600,,8,0.003399,34,1149,6
6,10,7,1,5,600,,7,0.000504,6,247,6
6,10,7,2,5,600,,4,0.001141,20,677,4
6,10,7,3,5,600,,5,0.001356,18,520,5
6,10,7,4,5,600,,6,0.020066,138,12178,6
6,10,7,5,5,600,,5,0.001863,7,361,7
6,10,7,6,5,600,,9,0.003027,20,972,6
6,10,7,7,5,600,,9,0.003769,23,901,7
6,10,8,1,5,600,,8,0.003106,16,2238,8
6,10,8,2,5,600,,5,0.000985,10,617,2
6,10,8,3,5,600,,7,0.861594,5447,567800,4
6,10,8,4,5,600,,7,0.005183,24,2832,10
6,10,8,5,5,600,,8,0.005710,46,3159,5
6,10,8,6,5,600,,10,0.010592,112,5402,6
6,10,8,7,5,600,,13,0.033968,285,18289,8
6,10,8,8,5,600,,7,0.004997,23,973,8
6,10,9,1,5,600,,4,0.000199,2,68,2
6,10,9,2,5,600,,5,0.004764,45,2868,12
6,10,9,3,5,600,,3,0.002280,13,622,13
6,10,9,4,5,600,,3,0.001617,17,460,6
6,10,9,5,5,600,,9,0.146237,1249,87870,6
6,10,9,6,5,600,,9,1.617244,17007,817683,8
6,10,9,7,5,600,,10,0.026185,251,12871,8
6,10,9,8,5,600,,9,0.018771,214,7849,8
6,10,9,9,5,600,,9,0.014583,123,3979,9
6,10,10,1,5,600,,7,0.000262,2,82,2
6,10,10,2,5,600,,6,0.014077,113,8927,4
6,10,10,3,5,600,,4,0.001851,15,575,7
6,10,10,4,5,600,,10,0.042804,312,23691,5
6,10,10,5,5,600,,6,0.006083,30,2094,9
6,10,10,6,5,600,,8,0.033473,297,15701,7
6,10,10,7,5,600,,5,0.013589,176,5233,7
6,10,10,8,5,600,,8,0.030358,327,11826,9
6,10,10,9,5,600,,10,0.024080,172,8881,10
6,10,10,10,5,600,,9,0.023839,213,6704,10
6,20,1,1,5,600,Unsolvable,,0.000001,0,0,0
6,20,2,1,5,600,,5,0.000029,1,9,1
6,20,2,2,5,600,Unsolvable,,0.000001,0,0,0
6,20,3,1,5,600,,9,0.000038,1,15,1
6,20,3,2,5,600,,8,0.000069,1,22,1
6,20,3,3,5,600,,11,0.000257,2,99,2
6,20,4,1,5,600,,1,0.000025,1,9,1
6,20,4,2,5,600,,8,0.000377,3,184,3
6,20,4,3,5,600,,8,0.002338,29,1543,3
6,20,4,4,5,600,,10,0.001555,18,768,4
6,20,5,1,5,600,,4,0.000120,2,55,2
6,20,5,2,5,600,,14,0.007905,29,6466,7
6,20,5,3,5,600,,10,0.000908,6,363,5
6,20,5,4,5,600,,11,0.001261,10,506,4
6,20,5,5,5,600,,11,0.072054,509,54833,4
6,20,6,1,5,600,,7,0.000250,2,147,2
6,20,6,2,5,600,,9,0.000458,3,195,3
6,20,6,3,5,600,,7,0.023797,182,17931,4
6,20,6,4,5,600,,11,0.086146,1262,55820,5
6,20,6,5,5,600,,9,0.001381,7,350,5
