g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
11,10,1,1,6,1|2|600|4|1|1,,6,0,39,7,48,16023,5084,45704,6,6,6
11,10,1,2,6,1|2|600|4|1|1,,19,0,325,261,588,156208,40297,476606,9,19,19
11,10,1,3,6,1|2|600|4|1|1,,26,0,382,313,696,181804,42114,552251,14,26,26
11,10,1,4,6,1|2|600|4|1|1,,48,0,850,341388,342240,411713,92573,1253103,25,48,48
11,10,1,5,6,1|2|600|4|1|1,Timeout,,0,1973,603454,0,929964,202564,2870797,23,47,69
11,10,1,6,6,1|2|600|4|1|1,Timeout,,0,2612,616380,0,1240448,266817,3823302,26,53,-1
11,10,1,7,6,1|2|600|4|1|1,Timeout,,0,2355,617905,0,1114456,235238,3434331,20,41,80
11,10,1,8,6,1|2|600|4|1|1,Timeout,,0,2432,615961,0,1152733,238507,3563645,18,37,-1
11,10,1,9,6,1|2|600|4|1|1,Timeout,,0,4430,626491,0,2080566,424728,6454731,29,59,-1
11,10,1,10,6,1|2|600|4|1|1,Timeout,,0,3554,635173,0,1666961,339425,5151127,21,43,-1
11,10,2,1,6,1|2|600|4|1|1,,6,0,57,27,86,28703,7627,87809,6,6,6
11,10,2,2,6,1|2|600|4|1|1,,24,0,379,75,455,171250,36308,561078,24,24,24
11,10,2,3,6,1|2|600|4|1|1,,21,0,456,73,530,209053,39942,689216,21,21,21
11,10,2,4,6,1|2|600|4|1|1,,33,0,948,583042,583992,422427,76246,1422095,17,33,33
11,10,2,5,6,1|2|600|4|1|1,,32,0,1236,295702,296940,541786,94037,1831266,18,32,32
11,10,2,6,6,1|2|600|4|1|1,Timeout,,0,1613,637303,0,707941,119088,2402553,20,21,-1
11,10,2,7,6,1|2|600|4|1|1,Timeout,,0,1768,631350,0,772045,127441,2622587,19,20,-1
11,10,2,8,6,1|2|600|4|1|1,Timeout,,0,2180,633462,0,962735,156122,3281539,21,22,-1
11,10,2,9,6,1|2|600|4|1|1,Timeout,,0,1784,634364,0,780816,123819,2661862,15,16,-1
11,10,2,10,6,1|2|600|4|1|1,Timeout,,0,4497,597262,0,1934988,300604,6661480,17,35,-1
11,10,3,1,6,1|2|600|4|1|1,,21,0,313,61,374,141807,31950,465232,21,21,21
11,10,3,2,6,1|2|600|4|1|1,,15,0,345,51,397,154010,29052,521255,15,15,15
11,10,3,3,6,1|2|600|4|1|1,,20,0,630,91,723,273251,45756,945572,20,20,20
11,10,3,4,6,1|2|600|4|1|1,,19,0,1361,11582,12944,575894,88959,2038120,17,19,19
11,10,3,5,6,1|2|600|4|1|1,,13,0,1063,489,1553,449110,66822,1587189,11,13,13
11,10,3,6,6,1|2|600|4|1|1,,26,0,2012,582286,584300,844683,120915,3018713,18,26,26
11,10,3,7,6,1|2|600|4|1|1,,25,0,2024,134164,136189,852620,119832,3040865,16,25,25
11,10,3,8,6,1|2|600|4|1|1,Timeout,,0,2636,652481,0,1101389,147789,3966281,18,19,-1
11,10,3,9,6,1|2|600|4|1|1,Timeout,,0,2612,664342,0,1086652,143802,3912775,16,25,32
11,10,3,10,6,1|2|600|4|1|1,Timeout,,0,4023,663576,0,1657122,212415,6004036,22,23,-1
11,10,4,1,6,1|2|600|4|1|1,,10,0,212,56,269,98137,19973,323813,10,10,10
11,10,4,2,6,1|2|600|4|1|1,,18,0,1060,461,1522,454384,76246,1601140,17,18,18
11,10,4,3,6,1|2|600|4|1|1,,17,0,708,88,797,304033,45762,1078798,17,17,17
11,10,4,4,6,1|2|600|4|1|1,,16,0,832,99,931,353068,49400,1267664,16,16,16
11,10,4,5,6,1|2|600|4|1|1,,27,0,2367,252609,254978,976205,127453,3579701,19,27,27
11,10,4,6,6,1|2|600|4|1|1,,23,0,3243,82033,85278,1320285,163398,4877285,22,23,23
11,10,4,7,6,1|2|600|4|1|1,,21,0,2996,307899,310897,1215002,147797,4496356,18,21,21
11,10,4,8,6,1|2|600|4|1|1,,22,0,3739,402661,406402,1511251,178660,5615695,20,22,22
11,10,4,9,6,1|2|600|4|1|1,,24,0,3998,530436,534436,1607932,184113,5988356,19,24,24
11,10,4,10,6,1|2|600|4|1|1,Timeout,,0,5717,681657,0,2303613,259262,8612265,25,26,50
11,10,5,1,6,1|2|600|4|1|1,,20,0,560,86,647,248188,45748,847781,20,20,20
11,10,5,2,6,1|2|600|4|1|1,,8,0,325,52,378,142786,22889,496044,8,8,8
11,10,5,3,6,1|2|600|4|1|1,,17,0,898,102,1001,377317,52302,1363020,17,17,17
11,10,5,4,6,1|2|600|4|1|1,,16,0,1031,120,1152,429862,55579,1568826,16,16,16
11,10,5,5,6,1|2|600|4|1|1,,13,0,1023,129,1152,421744,50870,1556003,13,13,13
11,10,5,6,6,1|2|600|4|1|1,,23,0,2100,490,2591,850380,95892,3188551,23,23,23
11,10,5,7,6,1|2|600|4|1|1,,19,0,3681,200296,203979,1470874,161242,5552353,18,19,19
11,10,5,8,6,1|2|600|4|1|1,,20,0,3049,339309,342360,1211463,127493,4591681,13,20,20
11,10,5,9,6,1|2|600|4|1|1,Timeout,,0,5696,639524,0,2241600,228780,8547329,22,23,33
11,10,5,10,6,1|2|600|4|1|1,,18,0,3921,558596,562519,1555670,158005,5921884,14,18,18
11,10,6,1,6,1|2|600|4|1|1,,0,0,6,10,17,5363,2553,9963,0,0,0
11,10,6,2,6,1|2|600|4|1|1,,10,0,517,75,593,220172,31968,783112,10,10,10
