g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
10,10,1,1,12,1|2|600|4|1|1,,3,0,20,3,25,6605,2002,18570,3,3,3
10,10,1,2,12,1|2|600|4|1|1,,19,0,147,100,247,70629,16104,221313,11,19,19
10,10,1,3,12,1|2|600|4|1|1,,23,0,298,185,484,133037,27906,427012,15,23,23
10,10,1,4,12,1|2|600|4|1|1,,29,0,513,2393,2908,231376,45108,748730,20,29,29
10,10,1,5,12,1|2|600|4|1|1,,28,0,752,6444,7197,337926,63710,1108395,12,28,28
10,10,1,6,12,1|2|600|4|1|1,,51,0,1763,44532,46296,793640,145512,2614648,24,51,51
10,10,1,7,12,1|2|600|4|1|1,,47,0,1306,165576,166884,577755,103714,1906246,15,47,47
10,10,1,8,12,1|2|600|4|1|1,,42,0,1360,72032,73394,615503,108316,2026357,28,42,42
10,10,1,9,12,1|2|600|4|1|1,,54,0,2478,597159,599639,1100395,195318,3636428,23,54,54
10,10,1,10,12,1|2|600|4|1|1,Timeout,,0,3097,611438,0,1357286,232320,4520274,25,51,53
10,10,2,1,12,1|2|600|4|1|1,,12,0,90,71,162,43562,10404,137068,12,12,12
10,10,2,2,12,1|2|600|4|1|1,,9,0,108,27,136,50452,10008,164552,9,9,9
10,10,2,3,12,1|2|600|4|1|1,,15,0,382,293,676,160075,27612,552697,11,15,15
10,10,2,4,12,1|2|600|4|1|1,,18,0,614,401,1016,259619,40616,911759,14,18,18
10,10,2,5,12,1|2|600|4|1|1,,18,0,744,2108,2853,311165,46420,1097839,14,18,18
10,10,2,6,12,1|2|600|4|1|1,,22,0,985,9775,10761,415441,59424,1483145,16,22,22
10,10,2,7,12,1|2|600|4|1|1,,27,0,1228,37481,38711,515964,70028,1855818,17,27,27
10,10,2,8,12,1|2|600|4|1|1,,24,0,1369,16011,17382,570175,77032,2051975,17,24,24
10,10,2,9,12,1|2|600|4|1|1,,29,0,1512,264526,266040,629352,84036,2264658,17,29,29
10,10,2,10,12,1|2|600|4|1|1,,30,0,2658,263130,265790,1079570,137840,3926738,13,30,30
10,10,3,1,12,1|2|600|4|1|1,,15,0,178,67,245,82727,17606,272306,15,15,15
10,10,3,2,12,1|2|600|4|1|1,,10,0,182,36,219,81828,14312,279132,10,10,10
10,10,3,3,12,1|2|600|4|1|1,,15,0,601,215,817,248499,37518,888880,12,15,15
10,10,3,4,12,1|2|600|4|1|1,,18,0,994,488,1483,412873,56124,1512327,16,18,18
10,10,3,5,12,1|2|600|4|1|1,,14,0,875,1528,2404,363429,47530,1331492,12,14,14
10,10,3,6,12,1|2|600|4|1|1,,19,0,1293,8251,9545,531359,65136,1968243,15,19,19
10,10,3,7,12,1|2|600|4|1|1,,17,0,1496,3526,5023,608552,71342,2268161,15,17,17
10,10,3,8,12,1|2|600|4|1|1,,18,0,1625,12253,13880,650706,72548,2443324,14,18,18
10,10,3,9,12,1|2|600|4|1|1,,24,0,2537,176590,179128,1010252,110754,3809071,20,24,24
10,10,3,10,12,1|2|600|4|1|1,,24,0,2538,310584,313124,1000349,107360,3777785,18,24,24
10,10,4,1,12,1|2|600|4|1|1,,8,0,138,45,184,64347,12608,211407,8,8,8
10,10,4,2,12,1|2|600|4|1|1,,6,0,160,30,191,68001,11216,233817,6,6,6
10,10,4,3,12,1|2|600|4|1|1,,12,0,402,61,464,169232,23424,610228,12,12,12
10,10,4,4,12,1|2|600|4|1|1,,21,0,860,171,1032,353698,44032,1309766,21,21,21
10,10,4,5,12,1|2|600|4|1|1,,17,0,1573,1088,2662,632648,72640,2390172,16,17,17
10,10,4,6,12,1|2|600|4|1|1,,19,0,1064,1436,2501,432715,48048,1629043,19,19,19
10,10,4,7,12,1|2|600|4|1|1,,21,0,2128,20711,22840,843114,85856,3231910,16,21,21
10,10,4,8,12,1|2|600|4|1|1,,21,0,2393,34179,36574,933912,92464,3588296,16,21,21
10,10,4,9,12,1|2|600|4|1|1,,19,0,2611,57251,59863,1020741,99072,3933033,16,19,19
10,10,4,10,12,1|2|600|4|1|1,,19,0,3246,38278,41526,1261841,118480,4888569,18,19,19
10,10,5,1,12,1|2|600|4|1|1,,7,0,165,32,198,76164,13610,255273,7,7,7
10,10,5,2,12,1|2|600|4|1|1,,12,0,397,61,458,167836,24720,596984,12,12,12
10,10,5,3,12,1|2|600|4|1|1,,19,0,802,110,912,332717,42030,1226096,19,19,19
10,10,5,4,12,1|2|600|4|1|1,,13,0,690,85,776,283532,32240,1059974,13,13,13
10,10,5,5,12,1|2|600|4|1|1,,12,0,746,89,836,303800,32550,1147665,12,12,12
10,10,5,6,12,1|2|600|4|1|1,,21,0,1488,497,1986,592394,59460,2270624,21,21,21
10,10,5,7,12,1|2|600|4|1|1,,12,0,969,253,1223,386633,37770,1480576,12,12,12
10,10,5,8,12,1|2|600|4|1|1,,16,0,2548,15106,17655,987039,89980,3842773,14,16,16
10,10,5,9,12,1|2|600|4|1|1,,17,0,3253,71484,74738,1254401,108990,4918486,16,17,17
10,10,5,10,12,1|2|600|4|1|1,,18,0,3083,27032,30117,1189075,101600,4664455,14,18,18
10,10,6,1,12,1|2|600|4|1|1,,9,0,269,46,316,120967,20012,413803,9,9,9
10,10,6,2,12,1|2|600|4|1|1,,10,0,426,64,491,179424,24224,648280,10,10,10
10,10,6,3,12,1|2|600|4|1|1,,11,0,578,77,656,239186,28836,884288,11,11,11
10,10,6,4,12,1|2|600|4|1|1,,14,0,877,101,978,356004,39048,1341320,14,14,14
10,10,6,5,12,1|2|600|4|1|1,,11,0,831,102,934,334506,33660,1275674,11,11,11
10,10,6,6,12,1|2|600|4|1|1,,15,0,1327,149,1477,522516,48072,2022028,15,15,15
10,10,6,7,12,1|2|600|4|1|1,,19,0,1899,341,2241,740695,64084,2894003,19,19,19
10,10,6,8,12,1|2|600|4|1|1,,18,0,3700,19072,22773,1418146,119096,5586666,17,18,18
10,10,6,9,12,1|2|600|4|1|1,,11,0,2196,1961,4158,841240,68508,3317054,9,11,11
10,10,6,10,12,1|2|600|4|1|1,,15,0,1986,1912,3899,767909,60920,3029807,15,15,15
10,10,7,1,12,1|2|600|4|1|1,,16,0,605,91,697,264184,39114,930631,16,16,16
10,10,7,2,12,1|2|600|4|1|1,,12,0,596,82,679,253123,32528,917959,12,12,12
10,10,7,3,12,1|2|600|4|1|1,,13,0,814,110,925,334296,37842,1250585,13,13,13
10,10,7,4,12,1|2|600|4|1|1,,16,0,1206,139,1346,486488,49356,1854782,16,16,16
10,10,7,5,12,1|2|600|4|1|1,,14,0,1263,140,1404,502404,46570,1939139,14,14,14
10,10,7,6,12,1|2|600|4|1|1,,13,0,1317,137,1455,519828,46284,2015646,13,13,13
10,10,7,7,12,1|2|600|4|1|1,,15,0,1716,187,1904,672735,56098,2635660,15,15,15
10,10,7,8,12,1|2|600|4|1|1,,14,0,3090,6345,9436,1188692,92612,4710974,12,14,14
10,10,7,9,12,1|2|600|4|1|1,,17,0,2382,704,3087,917551,70326,3636944,17,17,17
10,10,7,10,12,1|2|600|4|1|1,,18,0,2812,5201,8014,1080442,78040,4312946,18,18,18
10,10,8,1,12,1|2|600|4|1|1,,12,0,549,81,631,240155,33816,850843,12,12,12
10,10,8,2,12,1|2|600|4|1|1,,7,0,426,58,485,181717,22432,658265,7,7,7
10,10,8,3,12,1|2|600|4|1|1,,16,0,1174,136,1310,480464,51048,1808472,16,16,16
10,10,8,4,12,1|2|600|4|1|1,,9,0,813,86,899,329985,32064,1255937,9,9,9
10,10,8,5,12,1|2|600|4|1|1,,16,0,1648,173,1822,654577,57880,2539001,16,16,16
10,10,8,6,12,1|2|600|4|1|1,,13,0,1577,161,1739,610303,50496,2388083,13,13,13
10,10,8,7,12,1|2|600|4|1|1,,13,0,3373,4585,7959,1278510,95112,5090918,12,13,13
