g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
9,10,1,1,13,1|2|600|4|1|1,,10,0,39,18,58,15913,4456,47126,10,10,10
9,10,1,2,13,1|2|600|4|1|1,,18,0,147,354,502,66690,13043,218128,11,18,18
9,10,1,3,13,1|2|600|4|1|1,,26,0,367,693,1062,160752,24060,550053,16,26,26
9,10,1,4,13,1|2|600|4|1|1,Timeout,,0,1497,617315,0,637013,79303,2251779,22,53,55
9,10,1,5,13,1|2|600|4|1|1,,38,0,1586,224506,226094,659478,68450,2377293,16,38,38
9,10,1,6,13,1|2|600|4|1|1,,46,0,2598,516725,519326,1053828,93561,3855816,19,46,46
9,10,1,7,13,1|2|600|4|1|1,Timeout,,0,4062,632705,0,1610426,128068,5947199,23,47,-1
9,10,1,8,13,1|2|600|4|1|1,Timeout,,0,2896,637623,0,1136907,81575,4226553,13,27,-1
9,10,1,9,13,1|2|600|4|1|1,Timeout,,0,5204,638986,0,2052734,130986,7696325,19,39,-1
9,10,1,10,13,1|2|600|4|1|1,Timeout,,0,6897,640508,0,2716201,158365,10240377,21,43,-1
9,10,2,1,13,1|2|600|4|1|1,,7,0,43,44,88,21186,5186,65367,7,7,7
9,10,2,2,13,1|2|600|4|1|1,,19,0,219,38,258,92224,16204,313684,19,19,19
9,10,2,3,13,1|2|600|4|1|1,,10,0,183,31,216,76082,10698,267351,10,10,10
9,10,2,4,13,1|2|600|4|1|1,,21,0,795,8767,9564,322550,37430,1176032,16,21,21
9,10,2,5,13,1|2|600|4|1|1,,22,0,818,163163,163982,328481,32410,1213644,12,22,22
9,10,2,6,13,1|2|600|4|1|1,Timeout,,0,1323,631789,0,523313,45210,1953385,15,29,30
9,10,2,7,13,1|2|600|4|1|1,Timeout,,0,1604,668480,0,627294,46994,2366571,14,15,-1
9,10,2,8,13,1|2|600|4|1|1,Timeout,,0,2289,656511,0,895965,62386,3393483,17,18,-1
9,10,2,9,13,1|2|600|4|1|1,Timeout,,0,2592,651679,0,1010448,64170,3846895,16,25,32
9,10,2,10,13,1|2|600|4|1|1,Timeout,,0,2904,690226,0,1117308,65306,4273764,15,16,-1
9,10,3,1,13,1|2|600|4|1|1,,15,0,145,32,178,67082,14259,220338,15,15,15
9,10,3,2,13,1|2|600|4|1|1,,9,0,143,31,175,63101,10536,216946,9,9,9
9,10,3,3,13,1|2|600|4|1|1,,8,0,198,33,233,82902,10944,296571,8,8,8
9,10,3,4,13,1|2|600|4|1|1,,13,0,431,193,625,175922,19290,648009,13,13,13
9,10,3,5,13,1|2|600|4|1|1,,18,0,1361,34450,35812,542657,50802,2045984,16,18,18
9,10,3,6,13,1|2|600|4|1|1,,20,0,1652,247581,249234,643476,52749,2449362,15,20,20
9,10,3,7,13,1|2|600|4|1|1,,18,0,1540,113820,115361,596648,42870,2287971,11,18,18
9,10,3,8,13,1|2|600|4|1|1,Timeout,,0,2464,680647,0,940489,62799,3622257,15,16,30
9,10,3,9,13,1|2|600|4|1|1,Timeout,,0,2182,662968,0,824181,50328,3183642,11,18,19
9,10,3,10,13,1|2|600|4|1|1,Timeout,,0,3413,670569,0,1297920,72849,5038450,15,16,30
9,10,4,1,13,1|2|600|4|1|1,,13,0,181,63,245,81826,15880,274837,13,13,13
9,10,4,2,13,1|2|600|4|1|1,,11,0,241,42,284,102608,15560,361538,11,11,11
9,10,4,3,13,1|2|600|4|1|1,,17,0,523,84,608,212502,26256,779807,17,17,17
9,10,4,4,13,1|2|600|4|1|1,,17,0,705,97,803,281326,29176,1055762,17,17,17
9,10,4,5,13,1|2|600|4|1|1,,21,0,1110,386,1497,438006,39224,1668645,21,21,21
9,10,4,6,13,1|2|600|4|1|1,,19,0,1253,479,1733,489440,38904,1878558,19,19,19
9,10,4,7,13,1|2|600|4|1|1,,14,0,2068,38923,40992,792511,56890,3068580,13,14,14
9,10,4,8,13,1|2|600|4|1|1,Timeout,,0,2705,670168,0,1034347,65804,4034441,14,18,21
9,10,4,9,13,1|2|600|4|1|1,Timeout,,0,3695,683600,0,1392403,80226,5457658,16,17,24
9,10,4,10,13,1|2|600|4|1|1,Timeout,,0,4422,693630,0,1674173,90760,6569121,17,18,25
9,10,5,1,13,1|2|600|4|1|1,,7,0,133,33,167,59900,11021,200222,7,7,7
9,10,5,2,13,1|2|600|4|1|1,,9,0,259,42,302,108427,15400,387260,9,9,9
9,10,5,3,13,1|2|600|4|1|1,,12,0,883,261,1145,343198,39138,1284721,11,12,12
9,10,5,4,13,1|2|600|4|1|1,,10,0,492,69,562,198998,20513,745430,10,10,10
9,10,5,5,13,1|2|600|4|1|1,,16,0,1035,124,1160,404063,34450,1551094,16,16,16
9,10,5,6,13,1|2|600|4|1|1,,13,0,1882,1442,3324,721130,54705,2800522,12,13,13
9,10,5,7,13,1|2|600|4|1|1,,15,0,1405,391,1797,538119,37619,2090019,15,15,15
9,10,5,8,13,1|2|600|4|1|1,,13,0,1441,3324,4767,547487,35194,2137738,13,13,13
9,10,5,9,13,1|2|600|4|1|1,,18,0,4168,249675,253844,1557641,88254,6150388,16,18,18
9,10,5,10,13,1|2|600|4|1|1,Timeout,,0,2834,718912,0,1058483,56750,4175978,19,19,-1
9,10,6,1,13,1|2|600|4|1|1,,4,0,101,23,124,45613,8106,151716,4,4,4
9,10,6,2,13,1|2|600|4|1|1,,10,0,351,66,417,144715,19614,520159,10,10,10
9,10,6,3,13,1|2|600|4|1|1,,10,0,469,64,535,190065,21402,705810,10,10,10
9,10,6,4,13,1|2|600|4|1|1,,16,0,942,121,1064,369322,35826,1404708,16,16,16
9,10,6,5,13,1|2|600|4|1|1,,10,0,747,66,814,291678,24978,1118545,10,10,10
9,10,6,6,13,1|2|600|4|1|1,,14,0,1260,160,1421,482149,36486,1874017,14,14,14
9,10,6,7,13,1|2|600|4|1|1,,13,0,1391,173,1566,529467,36330,2067922,13,13,13
9,10,6,8,13,1|2|600|4|1|1,,15,0,1900,380,2280,717885,44112,2830955,15,15,15
9,10,6,9,13,1|2|600|4|1|1,,20,0,2956,5269,8226,1107707,61290,4391018,20,20,20
9,10,6,10,13,1|2|600|4|1|1,Timeout,,0,5000,734641,0,1844765,95478,7339917,15,17,18
9,10,7,1,13,1|2|600|4|1|1,,6,0,186,31,218,80593,13048,274278,6,6,6
