g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
3,10,0,1,1,1|2|600|4|1|0,,3,0,0,0,2,178,108,401,3,3,3
3,10,0,2,1,1|2|600|4|1|0,,4,0,2,0,3,600,270,1422,4,4,4
3,10,0,3,1,1|2|600|4|1|0,,3,0,2,1,3,841,324,2122,3,3,3
3,10,0,4,1,1|2|600|4|1|0,,2,0,2,1,4,898,324,2244,2,2,2
3,10,0,5,1,1|2|600|4|1|0,,3,0,4,1,6,1780,540,4983,3,3,3
3,10,0,6,1,1|2|600|4|1|0,,4,0,9,6,17,4270,1134,12772,3,4,4
3,10,0,7,1,1|2|600|4|1|0,,5,0,11,16,28,5419,1323,16619,3,5,5
3,10,0,8,1,1|2|600|4|1|0,Maximum (maximum) makespan exceeded,,0,594,192000,0,249868,55512,794522,4,257,-1
3,20,0,1,1,1|2|600|4|1|0,,1,0,0,0,0,87,54,178,1,1,1
3,20,0,2,1,1|2|600|4|1|0,Maximum (maximum) makespan exceeded,,0,53,2048,0,29812,13878,71882,4,257,-1
3,20,0,3,1,1|2|600|4|1|0,,4,0,1,1,3,1005,405,2475,2,4,4
3,20,0,4,1,1|2|600|4|1|0,,3,0,2,0,2,1142,432,2802,3,3,3
3,20,0,5,1,1|2|600|4|1|0,,3,0,4,2,7,2086,675,5716,2,3,3
3,20,0,6,1,1|2|600|4|1|0,Maximum (maximum) makespan exceeded,,0,207,8030,0,101775,31266,286389,6,193,-1
3,20,0,7,1,1|2|600|4|1|0,Maximum (maximum) makespan exceeded,,0,401,34567,0,180409,48573,536339,4,257,-1
