g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
16,10,0,5,18,1|2|600|4|0|0,,24,0,391,100,492,221101,96000,522931,24,24,24
16,10,0,10,18,1|2|600|4|0|0,,20,0,659,184,844,387448,161280,903236,20,20,20
16,10,0,20,18,1|2|600|4|0|0,,18,0,1245,364,1610,712402,291840,1654954,18,18,18
16,10,0,30,18,1|2|600|4|0|0,,23,0,2456,797,3254,1341738,552960,3140490,23,23,23
16,10,0,40,18,1|2|600|4|0|0,,20,0,2888,1081,3970,1581421,645120,3684829,20,20,20
16,20,0,5,18,1|2|600|4|0|0,,21,0,328,72,400,197569,84480,446185,21,21,21
16,20,0,10,18,1|2|600|4|0|0,Unsolvable,,,,,,,,,,,
16,20,0,20,18,1|2|600|4|0|0,Unsolvable,,,,,,,,,,,
16,20,0,30,18,1|2|600|4|0|0,,20,0,2153,530,2685,1179353,483840,2655821,20,20,20
16,20,0,40,18,1|2|600|4|0|0,,20,0,2780,1108,3889,1571851,645120,3545659,20,20,20
32,10,0,5,18,1|2|600|4|0|0,,18,0,1248,228,1477,708948,291840,1634766,18,18,18
32,10,0,10,18,1|2|600|4|0|0,,28,0,4012,687,4700,2192907,890880,5104135,28,28,28
32,10,0,20,18,1|2|600|4|0|0,,49,0,14308,4416,18725,7464653,3072000,17651613,49,49,49
32,10,0,30,18,1|2|600|4|0|0,,48,0,21472,9644,31119,10997043,4515840,26022391,48,48,48
32,10,0,40,18,1|2|600|4|0|0,,35,1,21227,9961,31191,10968778,4423680,25669930,35,35,35
32,20,0,5,18,1|2|600|4|0|0,,57,0,3939,754,4694,2056921,890880,4733917,57,57,57
32,20,0,10,18,1|2|600|4|0|0,,41,0,5738,1485,7224,3075184,1290240,7033328,41,41,41
32,20,0,20,18,1|2|600|4|0|0,Unsolvable,,,,,,,,,,,
32,20,0,30,18,1|2|600|4|0|0,,51,0,22100,11442,33545,11583733,4792320,26478017,51,51,51
32,20,0,40,18,1|2|600|4|0|0,,53,1,30730,15916,46648,16061188,6635520,36709396,53,53,53
16,10,0,5,18,0|2|600|4|0|0,,24,0,531,520,1052,277179,126720,677233,0,24,24
16,10,0,10,18,0|2|600|4|0|0,,20,0,1067,471,1539,571254,253440,1387618,0,20,20
16,10,0,20,18,0|2|600|4|0|0,,18,0,2211,1262,3475,1159404,506880,2811588,0,18,18
16,10,0,30,18,0|2|600|4|0|0,,23,0,3390,2495,5886,1747554,760320,4232358,0,23,23
16,10,0,40,18,0|2|600|4|0|0,,20,0,4761,3652,8415,2335704,1013760,5664648,0,20,20
16,20,0,5,18,0|2|600|4|0|0,,21,0,520,275,797,277179,126720,652273,0,21,21
16,20,0,10,18,0|2|600|4|0|0,Maximum (maximum) makespan exceeded,,0,8607,1617,0,4466166,1973760,10514402,0,257,-1
16,20,0,20,18,0|2|600|4|0|0,Maximum (maximum) makespan exceeded,,0,17916,3504,0,9063916,3947520,21271492,0,257,-1
16,20,0,30,18,0|2|600|4|0|0,,20,0,3338,2686,6025,1747554,760320,4082598,0,20,20
16,20,0,40,18,0|2|600|4|0|0,,20,0,4557,3527,8086,2335704,1013760,5457288,0,20,20
32,10,0,5,18,0|2|600|4|0|0,,18,0,2233,989,3224,1109691,506880,2733297,0,18,18
32,10,0,10,18,0|2|600|4|0|0,,28,0,4567,1652,6220,2286966,1013760,5605602,0,28,28
32,10,0,20,18,0|2|600|4|0|0,,49,0,18609,19412,38023,9162220,3993600,22430660,0,49,49
32,10,0,30,18,0|2|600|4|0|0,,48,0,27903,23411,51317,13809890,5990400,33782950,0,48,48
32,10,0,40,18,0|2|600|4|0|0,,35,0,38266,59698,97968,18457560,7987200,45137800,0,35,35
32,20,0,5,18,0|2|600|4|0|0,,57,0,4193,2479,6673,2190715,998400,5192945,0,57,57
32,20,0,10,18,0|2|600|4|0|0,,41,0,8936,6461,15399,4514550,1996800,10659810,0,41,41
32,20,0,20,18,0|2|600|4|0|0,Maximum (maximum) makespan exceeded,,0,75093,16277,0,36286444,15790080,85536708,0,257,-1
32,20,0,30,18,0|2|600|4|0|0,,51,0,26955,39326,66285,13809890,5990400,32454310,0,51,51
32,20,0,40,18,0|2|600|4|0|0,,53,0,38168,46776,84948,18457560,7987200,43340680,0,53,53
