 g   b   c |    Without preprocessing*   |     With preprocessing*
16  10   5 |  0.87 [0.21] -  0.46 [0.12] |  0.39 [0.09] -  0.31 [0.07]
16  10  10 |  1.52 [0.26] -  1.04 [0.16] |  0.82 [0.12] -  0.65 [0.10]
16  10  20 |  3.50 [0.16] -  2.26 [0.06] |  1.92 [0.27] -  1.49 [0.22]
16  10  30 |  5.84 [0.34] -  3.37 [0.09] |  3.19 [0.34] -  2.41 [0.17]
16  10  40 |  8.00 [0.39] -  4.57 [0.10] |  4.49 [0.33] -  3.29 [0.27]
16  20   5 |  0.67 [0.20] -  0.42 [0.13] |  0.35 [0.10] -  0.29 [0.08]
16  20  10 |  1.53 [0.20] -  1.03 [0.12] |  0.82 [0.13] -  0.68 [0.11]
16  20  20 |  3.33 [0.17] -  2.18 [0.05] |  1.90 [0.22] -  1.52 [0.19]
16  20  30 |  5.97 [0.21] -  3.27 [0.07] |  2.97 [0.49] -  2.29 [0.24]
16  20  40 |  8.31 [0.56] -  4.49 [0.13] |  4.60 [0.47] -  3.36 [0.37]
32  10   5 |  4.86 [1.99] -  3.20 [1.13] |  2.60 [0.60] -  2.19 [0.47]
32  10  10 | 12.72 [3.89] -  7.94 [2.02] |  6.83 [1.41] -  5.54 [1.05]
32  10  20 | 34.79 [2.63] - 18.81 [0.44] | 16.96 [2.34] - 12.91 [1.91]
32  10  30 | 59.94 [3.85] - 28.18 [0.66] | 27.38 [4.06] - 19.98 [1.92]
32  10  40 | 83.90 [7.18] - 38.64 [0.99] | 39.81 [4.03] - 26.71 [3.10]
32  20   5 |  6.07 [1.55] -  3.85 [0.90] |  3.43 [0.81] -  2.75 [0.67]
32  20  10 | 13.95 [2.84] -  8.43 [1.33] |  7.01 [1.16] -  5.62 [0.90]
32  20  20 | 33.88 [2.46] - 18.32 [0.45] | 16.69 [1.93] - 12.55 [1.50]
32  20  30 | 62.85 [4.64] - 27.25 [0.58] | 28.15 [4.64] - 19.96 [2.07]
32  20  40 | 86.74 [7.39] - 37.67 [0.92] | 41.69 [2.96] - 27.55 [2.42]
*Total time [σ] - Construction time [σ]

 g   b   c |  nop* |    p*
16  10   5 |  0.41 |  0.08 
16  10  10 |  0.48 |  0.17 
16  10  20 |  1.24 |  0.43 
16  10  30 |  2.47 |  0.78 
16  10  40 |  3.43 |  1.21 
16  20   5 |  0.25 |  0.06 
16  20  10 |  0.50 |  0.15 
16  20  20 |  1.15 |  0.39 
16  20  30 |  2.70 |  0.68 
16  20  40 |  3.82 |  1.24 
32  10   5 |  1.65 |  0.41 
32  10  10 |  4.79 |  1.28 
32  10  20 | 15.99 |  4.05 
32  10  30 | 31.76 |  7.41 
32  10  40 | 45.26 | 13.10 
32  20   5 |  2.21 |  0.68 
32  20  10 |  5.52 |  1.39 
32  20  20 | 15.57 |  4.14 
32  20  30 | 35.61 |  8.19 
32  20  40 | 49.07 | 14.14 
*Solver time
